localizador,DS_CARGO,0
"CENTENÁRIO DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"CERRO AZUL,PARANÁ",GOVERNADOR,REQUIÃO
"CERRO AZUL,PARANÁ",SENADOR,ALVARO DIAS
"CHOPINZINHO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CHOPINZINHO,PARANÁ",SENADOR,PAULO MARTINS
"CIANORTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CIANORTE,PARANÁ",SENADOR,PAULO MARTINS
"CIDADE GAÚCHA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CIDADE GAÚCHA,PARANÁ",SENADOR,ALVARO DIAS
"CLEVELÂNDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CLEVELÂNDIA,PARANÁ",SENADOR,PAULO MARTINS
"COLOMBO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"COLOMBO,PARANÁ",SENADOR,SERGIO MORO
"COLORADO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"COLORADO,PARANÁ",SENADOR,PAULO MARTINS
"CONGONHINHAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CONGONHINHAS,PARANÁ",SENADOR,ALVARO DIAS
"CONSELHEIRO MAIRINCK,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CONSELHEIRO MAIRINCK,PARANÁ",SENADOR,ALVARO DIAS
"CONTENDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CONTENDA,PARANÁ",SENADOR,SERGIO MORO
"CORBÉLIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CORBÉLIA,PARANÁ",SENADOR,PAULO MARTINS
"CORNÉLIO PROCÓPIO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CORNÉLIO PROCÓPIO,PARANÁ",SENADOR,SERGIO MORO
"CORONEL DOMINGOS SOARES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CORONEL DOMINGOS SOARES,PARANÁ",SENADOR,ALVARO DIAS
"CORONEL VIVIDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CORONEL VIVIDA,PARANÁ",SENADOR,PAULO MARTINS
"CORUMBATAÍ DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CORUMBATAÍ DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"CRUZ MACHADO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CRUZ MACHADO,PARANÁ",SENADOR,ALVARO DIAS
"CRUZEIRO DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CRUZEIRO DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"CRUZEIRO DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CRUZEIRO DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"CRUZEIRO DO SUL,PARANÁ",GOVERNADOR,REQUIÃO
"CRUZEIRO DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"CRUZMALTINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CRUZMALTINA,PARANÁ",SENADOR,PAULO MARTINS
"CURITIBA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CURITIBA,PARANÁ",SENADOR,SERGIO MORO
"CURIÚVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CURIÚVA,PARANÁ",SENADOR,SERGIO MORO
"CÂNDIDO DE ABREU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CÂNDIDO DE ABREU,PARANÁ",SENADOR,SERGIO MORO
"CÉU AZUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CÉU AZUL,PARANÁ",SENADOR,PAULO MARTINS
"DIAMANTE D OESTE,PARANÁ",GOVERNADOR,REQUIÃO
"DIAMANTE D OESTE,PARANÁ",SENADOR,ALVARO DIAS
"DIAMANTE DO NORTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"DIAMANTE DO NORTE,PARANÁ",SENADOR,PAULO MARTINS
"DIAMANTE DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"DIAMANTE DO SUL,PARANÁ",SENADOR,ALINE SLEUTJES
"DOIS VIZINHOS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"DOIS VIZINHOS,PARANÁ",SENADOR,PAULO MARTINS
"DOURADINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"DOURADINA,PARANÁ",SENADOR,PAULO MARTINS
"DOUTOR CAMARGO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"DOUTOR CAMARGO,PARANÁ",SENADOR,SERGIO MORO
"DOUTOR ULYSSES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"DOUTOR ULYSSES,PARANÁ",SENADOR,ALVARO DIAS
"ENGENHEIRO BELTRÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ENGENHEIRO BELTRÃO,PARANÁ",SENADOR,SERGIO MORO
"ENTRE RIOS DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ENTRE RIOS DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"ENÉAS MARQUES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ENÉAS MARQUES,PARANÁ",SENADOR,ALVARO DIAS
"ESPERANÇA NOVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ESPERANÇA NOVA,PARANÁ",SENADOR,PAULO MARTINS
"ESPIGÃO ALTO DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ESPIGÃO ALTO DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"FAROL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FAROL,PARANÁ",SENADOR,ALVARO DIAS
"FAXINAL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FAXINAL,PARANÁ",SENADOR,PAULO MARTINS
"FAZENDA RIO GRANDE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FAZENDA RIO GRANDE,PARANÁ",SENADOR,SERGIO MORO
"FERNANDES PINHEIRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FERNANDES PINHEIRO,PARANÁ",SENADOR,ALVARO DIAS
"FIGUEIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FIGUEIRA,PARANÁ",SENADOR,ALVARO DIAS
"FLOR DA SERRA DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FLOR DA SERRA DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"FLORAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FLORAÍ,PARANÁ",SENADOR,PAULO MARTINS
"FLORESTA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FLORESTA,PARANÁ",SENADOR,ALVARO DIAS
"FLORESTÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FLORESTÓPOLIS,PARANÁ",SENADOR,ALVARO DIAS
"FLÓRIDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FLÓRIDA,PARANÁ",SENADOR,ALVARO DIAS
"FORMOSA DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FORMOSA DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"FOZ DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FOZ DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"FOZ DO JORDÃO,PARANÁ",GOVERNADOR,REQUIÃO
"FOZ DO JORDÃO,PARANÁ",SENADOR,ALVARO DIAS
"FRANCISCO ALVES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FRANCISCO ALVES,PARANÁ",SENADOR,PAULO MARTINS
"FRANCISCO BELTRÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FRANCISCO BELTRÃO,PARANÁ",SENADOR,SERGIO MORO
"FÊNIX,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"FÊNIX,PARANÁ",SENADOR,ALVARO DIAS
"GENERAL CARNEIRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GENERAL CARNEIRO,PARANÁ",SENADOR,ROSANE FERREIRA
"GODOY MOREIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GODOY MOREIRA,PARANÁ",SENADOR,ALVARO DIAS
"GOIOERÊ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GOIOERÊ,PARANÁ",SENADOR,PAULO MARTINS
"GOIOXIM,PARANÁ",GOVERNADOR,REQUIÃO
"GOIOXIM,PARANÁ",SENADOR,ALVARO DIAS
"GRANDES RIOS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GRANDES RIOS,PARANÁ",SENADOR,ALINE SLEUTJES
"GUAIRAÇÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUAIRAÇÁ,PARANÁ",SENADOR,ALVARO DIAS
"GUAMIRANGA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUAMIRANGA,PARANÁ",SENADOR,PAULO MARTINS
"GUAPIRAMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUAPIRAMA,PARANÁ",SENADOR,PAULO MARTINS
"GUAPOREMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUAPOREMA,PARANÁ",SENADOR,PAULO MARTINS
"GUARACI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUARACI,PARANÁ",SENADOR,PAULO MARTINS
"GUARANIAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUARANIAÇU,PARANÁ",SENADOR,SERGIO MORO
"GUARAPUAVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUARAPUAVA,PARANÁ",SENADOR,SERGIO MORO
"GUARAQUEÇABA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUARAQUEÇABA,PARANÁ",SENADOR,ALVARO DIAS
"GUARATUBA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"GUARATUBA,PARANÁ",SENADOR,SERGIO MORO
"GUAÍRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
