localizador,DS_CARGO,0
"TAMBOARA,PARANÁ",SENADOR,ALVARO DIAS
"TAPEJARA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TAPEJARA,PARANÁ",SENADOR,PAULO MARTINS
"TAPIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TAPIRA,PARANÁ",SENADOR,PAULO MARTINS
"TEIXEIRA SOARES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TEIXEIRA SOARES,PARANÁ",SENADOR,SERGIO MORO
"TELÊMACO BORBA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TELÊMACO BORBA,PARANÁ",SENADOR,SERGIO MORO
"TERRA BOA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TERRA BOA,PARANÁ",SENADOR,PAULO MARTINS
"TERRA RICA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TERRA RICA,PARANÁ",SENADOR,PAULO MARTINS
"TERRA ROXA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TERRA ROXA,PARANÁ",SENADOR,PAULO MARTINS
"TIBAGI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TIBAGI,PARANÁ",SENADOR,SERGIO MORO
"TIJUCAS DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TIJUCAS DO SUL,PARANÁ",SENADOR,SERGIO MORO
"TOLEDO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TOLEDO,PARANÁ",SENADOR,PAULO MARTINS
"TOMAZINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TOMAZINA,PARANÁ",SENADOR,PAULO MARTINS
"TRÊS BARRAS DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TRÊS BARRAS DO PARANÁ,PARANÁ",SENADOR,PAULO MARTINS
"TUNAS DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TUNAS DO PARANÁ,PARANÁ",SENADOR,ALVARO DIAS
"TUNEIRAS DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TUNEIRAS DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"TUPÃSSI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TUPÃSSI,PARANÁ",SENADOR,PAULO MARTINS
"TURVO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TURVO,PARANÁ",SENADOR,ALVARO DIAS
"UBIRATÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"UBIRATÃ,PARANÁ",SENADOR,PAULO MARTINS
"UMUARAMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"UMUARAMA,PARANÁ",SENADOR,PAULO MARTINS
"UNIFLOR,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"UNIFLOR,PARANÁ",SENADOR,ALVARO DIAS
"UNIÃO DA VITÓRIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"UNIÃO DA VITÓRIA,PARANÁ",SENADOR,SERGIO MORO
"URAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"URAÍ,PARANÁ",SENADOR,PAULO MARTINS
"VENTANIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"VENTANIA,PARANÁ",SENADOR,ALVARO DIAS
"VERA CRUZ DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"VERA CRUZ DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"VERÊ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"VERÊ,PARANÁ",SENADOR,ALVARO DIAS
"VIRMOND,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"VIRMOND,PARANÁ",SENADOR,ALVARO DIAS
"VITORINO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"VITORINO,PARANÁ",SENADOR,SERGIO MORO
"WENCESLAU BRAZ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"WENCESLAU BRAZ,PARANÁ",SENADOR,ALVARO DIAS
"XAMBRÊ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"XAMBRÊ,PARANÁ",SENADOR,PAULO MARTINS
"ÂNGULO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ÂNGULO,PARANÁ",SENADOR,ALVARO DIAS
